"","quest","STATE","answer","n","region"
"1","Can you call coleslaw 'slaw'?","AK","no ",55,"alaska"
"2","Can you call coleslaw 'slaw'?","AL","yes ",277,"alabama"
"3","Can you call coleslaw 'slaw'?","AR","yes ",153,"arkansas"
"4","Can you call coleslaw 'slaw'?","AZ","no ",158,"arizona"
"5","Can you call coleslaw 'slaw'?","CA","no ",1715,"california"
"6","Can you call coleslaw 'slaw'?","CO","no ",274,"colorado"
"7","Can you call coleslaw 'slaw'?","CT","no ",540,"connecticut"
"8","Can you call coleslaw 'slaw'?","DE","no ",58,"delaware"
"9","Can you call coleslaw 'slaw'?","FL","yes ",579,"florida"
"10","Can you call coleslaw 'slaw'?","GA","yes ",431,"georgia"
"11","Can you call coleslaw 'slaw'?","HI","no ",53,"hawaii"
"12","Can you call coleslaw 'slaw'?","IA","no ",436,"iowa"
"13","Can you call coleslaw 'slaw'?","ID","no ",120,"idaho"
"14","Can you call coleslaw 'slaw'?","IL","yes ",1268,"illinois"
"15","Can you call coleslaw 'slaw'?","IN","yes ",741,"indiana"
"16","Can you call coleslaw 'slaw'?","KS","yes ",784,"kansas"
"17","Can you call coleslaw 'slaw'?","KY","yes ",358,"kentucky"
"18","Can you call coleslaw 'slaw'?","LA","yes ",270,"louisiana"
"19","Can you call coleslaw 'slaw'?","MA","no ",879,"massachusetts"
"20","Can you call coleslaw 'slaw'?","MD","no ",332,"maryland"
"21","Can you call coleslaw 'slaw'?","ME","no ",105,"maine"
"22","Can you call coleslaw 'slaw'?","MI","no ",961,"michigan"
"23","Can you call coleslaw 'slaw'?","MN","no ",628,"minnesota"
"24","Can you call coleslaw 'slaw'?","MO","yes ",1233,"missouri"
"25","Can you call coleslaw 'slaw'?","MS","yes ",160,"mississippi"
"26","Can you call coleslaw 'slaw'?","MT","no ",188,"montana"
"27","Can you call coleslaw 'slaw'?","NC","yes ",497,"north carolina"
"28","Can you call coleslaw 'slaw'?","ND","no ",100,"north dakota"
"29","Can you call coleslaw 'slaw'?","NE","yes ",140,"nebraska"
"30","Can you call coleslaw 'slaw'?","NH","no ",117,"new hampshire"
"31","Can you call coleslaw 'slaw'?","NJ","no ",810,"new jersey"
"32","Can you call coleslaw 'slaw'?","NM","no ",78,"new mexico"
"33","Can you call coleslaw 'slaw'?","NV","no ",50,"nevada"
