year,County,Type,Mean
1996,Alameda,2B,152197.777777778
1996,Alameda,3B,226967.361111111
1996,Alameda,4B,279629.166666667
1996,Alameda,A,216557.638888889
1996,Alameda,BT,131594.444444444
1996,Alameda,MSP,205049.316471429
1996,Alameda,MSPSF,141.617232479583
1996,Alameda,MT,200847.222222222
1996,Alameda,MVSF,142.895833333333
1996,Alameda,SF,241027.083333333
1996,Alameda,TT,348667.521367521
1996,Contra Costa,2B,162543.333333333
1996,Contra Costa,3B,218471.957671958
1996,Contra Costa,4B,272754.497354497
1996,Contra Costa,A,242406.060606061
1996,Contra Costa,BT,140020
1996,Contra Costa,MSP,240118.779544693
1996,Contra Costa,MSPSF,131.076167039106
1996,Contra Costa,MT,245179.62962963
1996,Contra Costa,MVSF,128.525252525253
1996,Contra Costa,SF,253089.898989899
1996,Contra Costa,TT,336163.194444444
1996,Marin,2B,216804.166666667
1996,Marin,3B,303887.5
1996,Marin,4B,285166.666666667
1996,Marin,A,300991.666666667
1996,Marin,BT,140612.962962963
1996,Marin,MSP,342551.085561818
1996,Marin,MSPSF,197.278354928474
1996,Marin,MT,245804.166666667
1996,Marin,MVSF,177.625
1996,Marin,SF,283827.777777778
1996,Marin,TT,357934.920634921
1996,Napa,2B,146951.851851852
1996,Napa,3B,191550
1996,Napa,4B,224300
1996,Napa,A,199638.888888889
1996,Napa,BT,147361.111111111
1996,Napa,MSP,169937.5
1996,Napa,MSPSF,118.480758027044
1996,Napa,MT,133000
1996,Napa,MVSF,121.925925925926
1996,Napa,SF,207629.62962963
1996,Napa,TT,224488.888888889
1996,Sacramento,2B,82728.3950617284
1996,Sacramento,3B,123260.683760684
1996,Sacramento,4B,171319.047619048
1996,Sacramento,A,133907.142857143
1996,Sacramento,BT,95466.6666666667
1996,Sacramento,MSP,128323.430547899
1996,Sacramento,MSPSF,83.2508166883013
1996,Sacramento,MT,145771.717171717
1996,Sacramento,MVSF,80.1904761904762
1996,Sacramento,SF,147894.444444444
1996,Sacramento,TT,205457.407407407
1996,San Francisco,2B,253977.777777778
1996,San Francisco,3B,286722.222222222
1996,San Francisco,4B,327155.555555556
1996,San Francisco,A,260933.333333333
1996,San Francisco,BT,150522.222222222
1996,San Francisco,MSP,263666.666666667
1996,San Francisco,MSPSF,209.053711111111
1996,San Francisco,MT,204411.111111111
1996,San Francisco,MVSF,202.777777777778
1996,San Francisco,SF,263266.666666667
1996,San Francisco,TT,305844.444444444
1996,San Mateo,2B,228200.694444444
1996,San Mateo,3B,287181.944444444
1996,San Mateo,4B,363692.361111111
1996,San Mateo,A,286113.194444444
1996,San Mateo,BT,154618.518518519
1996,San Mateo,MSP,330174.534122581
1996,San Mateo,MSPSF,198.384673708929
1996,San Mateo,MT,229479.166666667
1996,San Mateo,MVSF,186.145833333333
1996,San Mateo,SF,295961.805555556
1996,San Mateo,TT,349603.703703704
1997,Alameda,2B,171414.444444444
1997,Alameda,3B,239140.104166667
1997,Alameda,4B,300089.583333333
1997,Alameda,A,228619.270833333
1997,Alameda,BT,137801.5625
1997,Alameda,DV,21.0347727272727
1997,Alameda,IV,71.4677272727273
1997,Alameda,MSP,213161.618052601
1997,Alameda,MSPSF,146.132988997277
1997,Alameda,MT,222423.958333333
1997,Alameda,MVSF,151.28125
1997,Alameda,SF,254790.625
1997,Alameda,TT,374617.948717949
1997,Contra Costa,2B,166186.25
1997,Contra Costa,3B,225928.968253968
1997,Contra Costa,4B,283800.793650794
1997,Contra Costa,A,250215.909090909
1997,Contra Costa,BT,143402.5
1997,Contra Costa,DV,27.5512727272727
1997,Contra Costa,IV,63.0026363636364
1997,Contra Costa,MSP,246931.467505833
1997,Contra Costa,MSPSF,134.664000317964
1997,Contra Costa,MT,252763.052208835
1997,Contra Costa,MVSF,132.814393939394
1997,Contra Costa,SF,262322.348484849
1997,Contra Costa,TT,353335.9375
1997,Marin,2B,250953.125
1997,Marin,3B,326025
1997,Marin,4B,424751.948051948
1997,Marin,A,320484.375
1997,Marin,BT,135048.192771084
1997,Marin,DV,25.2568181818182
1997,Marin,IV,68.9636363636364
1997,Marin,MSP,372972.24963253
1997,Marin,MSPSF,210.725589423774
1997,Marin,MT,257780.208333333
1997,Marin,MVSF,190.822916666667
1997,Marin,SF,357269.791666667
1997,Marin,TT,392312.359550562
1997,Napa,2B,240544.680851064
1997,Napa,3B,203566.666666667
1997,Napa,4B,413076.595744681
1997,Napa,A,214866.666666667
1997,Napa,BT,151987.5
1997,Napa,DV,25.0854545454545
1997,Napa,IV,67.2568181818182
1997,Napa,MSP,179387.5
1997,Napa,MSPSF,124.218541666667
1997,Napa,MT,147451.219512195
1997,Napa,MVSF,134.634146341463
1997,Napa,SF,290144.680851064
1997,Napa,TT,358589.361702128
1997,Sacramento,2B,82807.4074074074
1997,Sacramento,3B,123702.564102564
1997,Sacramento,4B,170442.261904762
1997,Sacramento,A,135989.880952381
1997,Sacramento,BT,95628.3333333333
1997,Sacramento,DV,42.1550649350649
1997,Sacramento,IV,45.5755194805195
1997,Sacramento,MSP,125851.878057595
1997,Sacramento,MSPSF,82.6484358916122
1997,Sacramento,MT,140392.424242424
1997,Sacramento,MVSF,80.2857142857143
1997,Sacramento,SF,149783.333333333
1997,Sacramento,TT,207838.888888889
1997,San Francisco,2B,277241.666666667
1997,San Francisco,3B,312766.666666667
1997,San Francisco,4B,356583.333333333
1997,San Francisco,A,283775
1997,San Francisco,BT,153375
1997,San Francisco,DV,11.0809090909091
1997,San Francisco,IV,84.8681818181818
1997,San Francisco,MSP,286562.5
1997,San Francisco,MSPSF,227.133175
1997,San Francisco,MT,221700
1997,San Francisco,MVSF,220.5
1997,San Francisco,SF,284791.666666667
1997,San Francisco,TT,333333.333333333
1997,San Mateo,2B,246818.229166667
1997,San Mateo,3B,312209.375
1997,San Mateo,4B,418965.625
1997,San Mateo,A,337201.041666667
1997,San Mateo,BT,161795.138888889
1997,San Mateo,DV,11.9518787878788
1997,San Mateo,IV,84.0290909090909
1997,San Mateo,MSP,352182.620764368
1997,San Mateo,MSPSF,213.599647305558
1997,San Mateo,MT,244681.25
1997,San Mateo,MVSF,209.046875
1997,San Mateo,SF,349304.166666667
1997,San Mateo,TT,406622.222222222
1998,Alameda,2B,189932.777777778
1998,Alameda,3B,267451.5625
1998,Alameda,4B,337749.479166667
1998,Alameda,A,256043.229166667
1998,Alameda,BT,151997.916666667
1998,Alameda,DV,9.25838541666667
1998,Alameda,FR,3.28206333333333
1998,Alameda,HF,2.23862739726027
1998,Alameda,IV,87.908125
1998,Alameda,MSP,221734.779324852
1998,Alameda,MSPSF,159.665803364618
1998,Alameda,MT,248255.208333333
1998,Alameda,MVSF,168.848958333333
1998,Alameda,SF,285222.395833333
1998,Alameda,SFG,98.024895212766
1998,Alameda,SFL,2.36080065789474
1998,Alameda,SPY,6.14864895833333
1998,Alameda,TT,419815.384615385
1998,Contra Costa,2B,185023.333333333
1998,Contra Costa,3B,252244.047619048
1998,Contra Costa,4B,317877.380952381
1998,Contra Costa,A,279762.5
1998,Contra Costa,BT,156127.916666667
1998,Contra Costa,DV,11.2966666666667
1998,Contra Costa,FR,6.7581324742268
1998,Contra Costa,HF,3.57556927083333
1998,Contra Costa,IV,84.51375
1998,Contra Costa,MSP,270509.697325103
1998,Contra Costa,MSPSF,147.177344156036
1998,Contra Costa,MT,281050.793650794
1998,Contra Costa,MVSF,148.19696969697
1998,Contra Costa,SF,292915.53030303
1998,Contra Costa,SFG,98.48557375
1998,Contra Costa,SFL,1.97906294117647
1998,Contra Costa,SPY,6.15136958333333
1998,Contra Costa,TT,394676.041666667
1998,Marin,2B,302420.454545455
1998,Marin,3B,367245.454545455
1998,Marin,4B,540922.222222222
1998,Marin,A,361220
1998,Marin,BT,139582.5
1998,Marin,DV,12.302375
1998,Marin,FR,1.78471034482759
1998,Marin,HF,1.33627096774194
1998,Marin,IV,83.768125
1998,Marin,MSP,401288.395683133
1998,Marin,MSPSF,235.280721845338
1998,Marin,MT,271563.333333333
1998,Marin,MVSF,210.766666666667
1998,Marin,SF,453335.555555556
1998,Marin,SFG,97.4528888888889
1998,Marin,SFL,3.28920793650794
1998,Marin,SPY,6.38076458333333
1998,Marin,TT,446078.409090909
1998,Napa,2B,275715.909090909
1998,Napa,3B,217311.363636364
1998,Napa,4B,446495.454545455
1998,Napa,A,232997.826086957
1998,Napa,BT,170119.35483871
1998,Napa,DV,38.1709090909091
1998,Napa,FR,6.82622941176471
1998,Napa,HF,3.09190434782609
1998,Napa,IV,56.7595454545455
1998,Napa,MSP,175455.85576875
1998,Napa,MSPSF,125.572557800388
1998,Napa,MT,210186.363636364
1998,Napa,MVSF,145
1998,Napa,SF,237304.347826087
1998,Napa,SFG,99.44466875
1998,Napa,SFL,0.83663
