"","DATE","VALUE","county"
"1",2014-01-01,43944,"Sacramento"
"2",2013-01-01,42676,"Sacramento"
"3",2012-01-01,41913,"Sacramento"
"4",2011-01-01,40098,"Sacramento"
"5",2010-01-01,38453,"Sacramento"
"6",2009-01-01,38085,"Sacramento"
"7",2008-01-01,38870,"Sacramento"
"8",2007-01-01,37938,"Sacramento"
"9",2006-01-01,36910,"Sacramento"
"10",2005-01-01,35184,"Sacramento"
"11",2004-01-01,34005,"Sacramento"
"12",2003-01-01,32685,"Sacramento"
"13",2002-01-01,31484,"Sacramento"
"14",2001-01-01,31018,"Sacramento"
"15",2000-01-01,29691,"Sacramento"
"16",1999-01-01,27670,"Sacramento"
"17",1998-01-01,26454,"Sacramento"
"18",1997-01-01,24974,"Sacramento"
"19",1996-01-01,23980,"Sacramento"
"20",1995-01-01,23500,"Sacramento"
"21",1994-01-01,22414,"Sacramento"
"22",1993-01-01,21519,"Sacramento"
"23",1992-01-01,21313,"Sacramento"
"24",1991-01-01,20415,"Sacramento"
"25",1990-01-01,19972,"Sacramento"
"26",1989-01-01,19513,"Sacramento"
"27",1988-01-01,18225,"Sacramento"
"28",1987-01-01,17316,"Sacramento"
"29",1986-01-01,16590,"Sacramento"
"30",1985-01-01,15638,"Sacramento"
"31",1984-01-01,14424,"Sacramento"
"32",1983-01-01,13151,"Sacramento"
"33",1982-01-01,12453,"Sacramento"
"34",1981-01-01,11959,"Sacramento"
"35",1980-01-01,11080,"Sacramento"
"36",1979-01-01,10239,"Sacramento"
"37",1978-01-01,9311,"Sacramento"
"38",1977-01-01,8378,"Sacramento"
"39",1976-01-01,7716,"Sacramento"
"40",1975-01-01,7120,"Sacramento"
"41",1974-01-01,6494,"Sacramento"
"42",1973-01-01,5940,"Sacramento"
"43",1972-01-01,5456,"Sacramento"
"44",1971-01-01,5100,"Sacramento"
"45",1970-01-01,4784,"Sacramento"
"46",1969-01-01,4413,"Sacramento"
"47",2014-01-01,63752,"Contra Costa"
"48",2013-01-01,60885,"Contra Costa"
"49",2012-01-01,61290,"Contra Costa"
"50",2011-01-01,56919,"Contra Costa"
"51",2010-01-01,53293,"Contra Costa"
"52",2009-01-01,53279,"Contra Costa"
"53",2008-01-01,57404,"Contra Costa"
"54",2007-01-01,57146,"Contra Costa"
"55",2006-01-01,55891,"Contra Costa"
"56",2005-01-01,52591,"Contra Costa"
"57",2004-01-01,50297,"Contra Costa"
"58",2003-01-01,46955,"Contra Costa"
"59",2002-01-01,46449,"Contra Costa"
"60",2001-01-01,45962,"Contra Costa"
"61",2000-01-01,45311,"Contra Costa"
"62",1999-01-01,40487,"Contra Costa"
"63",1998-01-01,38312,"Contra Costa"
"64",1997-01-01,35897,"Contra Costa"
"65",1996-01-01,33605,"Contra Costa"
"66",1995-01-01,31679,"Contra Costa"
"67",1994-01-01,30206,"Contra Costa"
"68",1993-01-01,29322,"Contra Costa"
"69",1992-01-01,28425,"Contra Costa"
"70",1991-01-01,26839,"Contra Costa"
"71",1990-01-01,26227,"Contra Costa"
"72",1989-01-01,25451,"Contra Costa"
"73",1988-01-01,24315,"Contra Costa"
"74",1987-01-01,22811,"Contra Costa"
"75",1986-01-01,21515,"Contra Costa"
"76",1985-01-01,20283,"Contra Costa"
"77",1984-01-01,19011,"Contra Costa"
"78",1983-01-01,17322,"Contra Costa"
"79",1982-01-01,16041,"Contra Costa"
"80",1981-01-01,15215,"Contra Costa"
"81",1980-01-01,13707,"Contra Costa"
"82",1979-01-01,12152,"Contra Costa"
"83",1978-01-01,10935,"Contra Costa"
"84",1977-01-01,9759,"Contra Costa"
"85",1976-01-01,8956,"Contra Costa"
"86",1975-01-01,8180,"Contra Costa"
"87",1974-01-01,7360,"Contra Costa"
"88",1973-01-01,6640,"Contra Costa"
"89",1972-01-01,6195,"Contra Costa"
"90",1971-01-01,5684,"Contra Costa"
"91",1970-01-01,5339,"Contra Costa"
"92",1969-01-01,5089,"Contra Costa"
"93",2014-01-01,98626,"Marin"
"94",2013-01-01,94310,"Marin"
"95",2012-01-01,93349,"Marin"
"96",2011-01-01,86768,"Marin"
"97",2010-01-01,79454,"Marin"
"98",2009-01-01,78414,"Marin"
"99",2008-01-01,87333,"Marin"
"100",2007-01-01,87580,"Marin"
"101",2006-01-01,87484,"Marin"
"102",2005-01-01,81975,"Marin"
"103",2004-01-01,77605,"Marin"
"104",2003-01-01,72491,"Marin"
"105",2002-01-01,70627,"Marin"
"106",2001-01-01,70695,"Marin"
"107",2000-01-01,70077,"Marin"
"108",1999-01-01,63067,"Marin"
"109",1998-01-01,59005,"Marin"
"110",1997-01-01,52940,"Marin"
"111",1996-01-01,49047,"Marin"
"112",1995-01-01,45508,"Marin"
"113",1994-01-01,42455,"Marin"
"114",1993-01-01,40226,"Marin"
"115",1992-01-01,38492,"Marin"
"116",1991-01-01,36114,"Marin"
"117",1990-01-01,34748,"Marin"
"118",1989-01-01,33376,"Marin"
"119",1988-01-01,32022,"Marin"
"120",1987-01-01,29438,"Marin"
"121",1986-01-01,28311,"Marin"
"122",1985-01-01,27087,"Marin"
"123",1984-01-01,25442,"Marin"
"124",1983-01-01,23311,"Marin"
"125",1982-01-01,21467,"Marin"
"126",1981-01-01,19905,"Marin"
"127",1980-01-01,17657,"Marin"
"128",1979-01-01,15124,"Marin"
"129",1978-01-01,13232,"Marin"
"130",1977-01-01,11564,"Marin"
"131",1976-01-01,10602,"Marin"
"132",1975-01-01,9700,"Marin"
"133",1974-01-01,8912,"Marin"
"134",1973-01-01,7997,"Marin"
"135",1972-01-01,7608,"Marin"
"136",1971-01-01,6865,"Marin"
"137",1970-01-01,6336,"Marin"
"138",1969-01-01,6058,"Marin"
"139",2014-01-01,54596,"Napa"
