Region,State,Metro,County,City|Code
Paradise,Las Vegas,NV,Las Vegas,Clark|00001
Upper West Side,New York,NY,New York,New York|00002
South Los Angeles,Los Angeles,CA,Los Angeles,Los Angeles|00003
Sherman Oaks,Los Angeles,CA,Los Angeles,Los Angeles|00004
Sunrise Manor,Las Vegas,NV,Las Vegas,Clark|00005
East New York,New York,NY,New York,Kings|00006
Southeast Los Angeles,Los Angeles,CA,Los Angeles,Los Angeles|00007
Spring Valley,Las Vegas,NV,Las Vegas,Clark|00008
Deer Valley,Phoenix,AZ,Phoenix,Maricopa|00009
Astoria,New York,NY,New York,Queens|00010
Paradise Valley,Phoenix,AZ,Phoenix,Maricopa|00011
North Mountain,Phoenix,AZ,Phoenix,Maricopa|00012
Washington Heights,New York,NY,New York,New York|00013
Hollywood,Los Angeles,CA,Los Angeles,Los Angeles|00014
Bedford Stuyvesant,New York,NY,New York,Kings|00015
Camelback East,Phoenix,AZ,Phoenix,Maricopa|00016
Flatbush,New York,NY,New York,Kings|00017
Crown Heights,New York,NY,New York,Kings|00018
Alahambra,Phoenix,AZ,Phoenix,Maricopa|00019
Jamaica,New York,NY,New York,Queens|00020
Roosevelt,Fresno,CA,Fresno,Fresno|00021
Williamsbridge,New York,NY,New York,Bronx|00022
North Scottsdale,Scottsdale,AZ,Phoenix,Maricopa|00023
East Harlem,New York,NY,New York,New York|00024
East San Jose,San Jose,CA,San Jose,Santa Clara|00025
East Flatbush,New York,NY,New York,Kings|00026
Bushwick,New York,NY,New York,Kings|00027
South Mountain,Phoenix,AZ,Phoenix,Maricopa|00028
Corona,New York,NY,New York,Queens|00029
Enterprise,Las Vegas,NV,Las Vegas,Clark|00030
East Memphis-Colonial-Yorkshire,Memphis,TN,Memphis,Shelby|00031
North Hollywood,Los Angeles,CA,Los Angeles,Los Angeles|00032
Elmhurst,New York,NY,New York,Queens|00033
Bullard,Fresno,CA,Fresno,Fresno|00034
Mid City,Los Angeles,CA,Los Angeles,Los Angeles|00035
Bensonhurst,New York,NY,New York,Kings|00036
West San Jose,San Jose,CA,San Jose,Santa Clara|00037
Westlake,Los Angeles,CA,Los Angeles,Los Angeles|00038
Koreatown,Los Angeles,CA,Los Angeles,Los Angeles|00039
North Long Beach,Long Beach,CA,Los Angeles,Los Angeles|00040
White Haven-Coro Lake,Memphis,TN,Memphis,Shelby|00041
Soundview,New York,NY,New York,Bronx|00042
