"","DATE","VALUE","county"
"1",2015-01-01,1501.335,"Sacramento"
"2",2014-01-01,1481.474,"Sacramento"
"3",2013-01-01,1462.338,"Sacramento"
"4",2012-01-01,1448.466,"Sacramento"
"5",2011-01-01,1435.548,"Sacramento"
"6",2010-01-01,1422.01,"Sacramento"
"7",2009-01-01,1399.663,"Sacramento"
"8",2008-01-01,1386.082,"Sacramento"
"9",2007-01-01,1373.33,"Sacramento"
"10",2006-01-01,1362.171,"Sacramento"
"11",2005-01-01,1354.776,"Sacramento"
"12",2004-01-01,1344.543,"Sacramento"
"13",2003-01-01,1325.64,"Sacramento"
"14",2002-01-01,1299.33,"Sacramento"
"15",2001-01-01,1265.496,"Sacramento"
"16",2000-01-01,1230.155,"Sacramento"
"17",1999-01-01,1206.659,"Sacramento"
"18",1998-01-01,1186.617,"Sacramento"
"19",1997-01-01,1169.855,"Sacramento"
"20",1996-01-01,1155.635,"Sacramento"
"21",1995-01-01,1140.825,"Sacramento"
"22",1994-01-01,1130.094,"Sacramento"
"23",1993-01-01,1127.608,"Sacramento"
"24",1992-01-01,1121.523,"Sacramento"
"25",1991-01-01,1107.559,"Sacramento"
"26",1990-01-01,1075.819,"Sacramento"
"27",1989-01-01,1008.753,"Sacramento"
"28",1988-01-01,979.279,"Sacramento"
"29",1987-01-01,948.523,"Sacramento"
"30",1986-01-01,916.044,"Sacramento"
"31",1985-01-01,891.113,"Sacramento"
"32",1984-01-01,869.581,"Sacramento"
"33",1983-01-01,852.626,"Sacramento"
"34",1982-01-01,832.148,"Sacramento"
"35",1981-01-01,806.297,"Sacramento"
"36",1980-01-01,783.381,"Sacramento"
"37",1979-01-01,768.5,"Sacramento"
"38",1978-01-01,748.3,"Sacramento"
"39",1977-01-01,727.6,"Sacramento"
"40",1976-01-01,711.8,"Sacramento"
"41",1975-01-01,697.4,"Sacramento"
"42",1974-01-01,683.6,"Sacramento"
"43",1973-01-01,669.9,"Sacramento"
"44",1972-01-01,669.4,"Sacramento"
"45",1971-01-01,653.8,"Sacramento"
"46",1970-01-01,634.373,"Sacramento"
"47",2015-01-01,1638.215,"Alameda"
"48",2014-01-01,1612.85,"Alameda"
"49",2013-01-01,1583.845,"Alameda"
"50",2012-01-01,1556.952,"Alameda"
"51",2011-01-01,1533.052,"Alameda"
