"","Date","Value","State","Type"
"1",2016-05-31,464200,"CA","A"
"2",2016-04-30,463600,"CA","A"
"3",2016-03-31,462100,"CA","A"
"4",2016-02-29,458500,"CA","A"
"5",2016-01-31,456800,"CA","A"
"6",2015-12-31,454600,"CA","A"
"7",2015-11-30,452300,"CA","A"
"8",2015-10-31,449200,"CA","A"
"9",2015-09-30,447500,"CA","A"
"10",2015-08-31,448400,"CA","A"
"11",2015-07-31,445500,"CA","A"
"12",2015-06-30,443200,"CA","A"
"13",2015-05-31,441800,"CA","A"
"14",2015-04-30,440700,"CA","A"
"15",2015-03-31,440000,"CA","A"
"16",2015-02-28,439500,"CA","A"
"17",2015-01-31,436600,"CA","A"
"18",2014-12-31,435300,"CA","A"
"19",2014-11-30,433500,"CA","A"
"20",2014-10-31,431500,"CA","A"
"21",2014-09-30,429400,"CA","A"
"22",2014-08-31,427400,"CA","A"
"23",2014-07-31,425400,"CA","A"
"24",2014-06-30,423600,"CA","A"
"25",2014-05-31,421200,"CA","A"
"26",2014-04-30,417400,"CA","A"
"27",2014-03-31,413500,"CA","A"
"28",2014-02-28,411000,"CA","A"
"29",2014-01-31,409000,"CA","A"
"30",2013-12-31,406000,"CA","A"
"31",2013-11-30,402200,"CA","A"
"32",2013-10-31,397500,"CA","A"
"33",2013-09-30,392300,"CA","A"
"34",2013-08-31,386400,"CA","A"
"35",2013-07-31,379500,"CA","A"
"36",2013-06-30,372000,"CA","A"
"37",2013-05-31,364900,"CA","A"
"38",2013-04-30,358100,"CA","A"
"39",2013-03-31,351300,"CA","A"
"40",2013-02-28,345300,"CA","A"
"41",2013-01-31,340400,"CA","A"
"42",2012-12-31,336200,"CA","A"
"43",2012-11-30,332100,"CA","A"
"44",2012-10-31,328600,"CA","A"
"45",2012-09-30,325500,"CA","A"
"46",2012-08-31,322600,"CA","A"
"47",2012-07-31,320000,"CA","A"
"48",2012-06-30,317400,"CA","A"
"49",2012-05-31,315000,"CA","A"
"50",2012-04-30,313300,"CA","A"
"51",2012-03-31,312200,"CA","A"
"52",2012-02-29,311200,"CA","A"
"53",2012-01-31,310900,"CA","A"
"54",2011-12-31,310900,"CA","A"
"55",2011-11-30,311000,"CA","A"
"56",2011-10-31,311100,"CA","A"
"57",2011-09-30,311800,"CA","A"
"58",2011-08-31,313200,"CA","A"
"59",2011-07-31,314900,"CA","A"
"60",2011-06-30,316800,"CA","A"
"61",2011-05-31,319300,"CA","A"
"62",2011-04-30,322200,"CA","A"
"63",2011-03-31,324700,"CA","A"
"64",2011-02-28,327100,"CA","A"
"65",2011-01-31,329600,"CA","A"
"66",2010-12-31,331800,"CA","A"
"67",2010-11-30,333300,"CA","A"
"68",2010-10-31,334900,"CA","A"
"69",2010-09-30,336700,"CA","A"
"70",2010-08-31,338400,"CA","A"
"71",2010-07-31,339900,"CA","A"
"72",2010-06-30,341300,"CA","A"
"73",2010-05-31,341800,"CA","A"
"74",2010-04-30,341500,"CA","A"
"75",2010-03-31,341300,"CA","A"
"76",2010-02-28,341200,"CA","A"
